index,customer_id,first_name,last_name,company,city,country,phone1,phone2,email,subscription_date,website
1,ffeCAb7AbcB0f07,Jared,Jarvis,Sanchez-Fletcher,Hatfieldshire,Eritrea,274.188.8773x41185,001-215-760-4642x969,gabriellehartman@benjamin.com,2021-11-11,https://www.mccarthy.info/
2,b687FfC4F1600eC,Marie,Malone,Mckay PLC,Robertsonburgh,Botswana,283-236-9529,(189)129-8356x63741,kstafford@sexton.com,2021-05-14,http://www.reynolds.com/
3,9FF9ACbc69dcF9c,Elijah,Barrera,Marks and Sons,Kimbury,Barbados,8252703789,459-916-7241x0909,jeanettecross@brown.com,2021-03-17,https://neal.com/
4,b49edDB1295FF6E,Sheryl,Montgomery,"Kirby, Vaughn and Sanders",Briannaview,Antarctica (the territory South of 60 deg S),425.475.3586,(392)819-9063,thomassierra@barrett.com,2020-09-23,https://www.powell-bryan.com/
5,3dcCbFEB17CCf2E,Jeremy,Houston,Lester-Manning,South Brianna,Micronesia,+1-223-666-5313x4530,252-488-3850x692,rubenwatkins@jacobs-wallace.info,2020-09-18,https://www.carrillo.com/
6,75bEe1B33E517AF,Frank,Villarreal,"Craig, Dennis and Maddox",Reidtown,Panama,+1-165-340-7100x44099,(847)867-2795x043,gmurillo@perez.com,2022-01-13,https://patel.org/
7,CB8b29B8Fbbbe58,Rickey,Fox,"Benson, Gray and Fitzpatrick",Mcintoshberg,United States of America,426.446.3838,437.476.4705,melissabenitez@le.info,2021-11-05,http://www.irwin-donaldson.com/
8,56b3cEA1E6A49F1,Barry,Ware,Glenn Ltd,Lake Pedrofort,American Samoa,101-419-0208x043,931.542.3115x98926,brent60@lopez.com,2022-05-12,https://www.bean.biz/
9,f9443f5f6AF0Da0,Carl,Mcdowell,Davila-Leach,Petersbury,Saint Vincent and the Grenadines,+1-740-392-0511,+1-218-891-5403x7270,toddharris@lowery-rosario.biz,2022-05-28,https://www.burnett.com/
10,C99b63E0d92C565,Pam,Dalton,Mckenzie Ltd,Hillside,Tanzania,0389689232,344-952-1181x6911,carolbanks@vang-stafford.com,2022-03-04,http://www.maxwell-bradford.com/
